date;state;energyGWh
01/01/2010 00:00:00;MARANHAO;0.0
01/01/2010 01:00:00;MARANHAO;0.0
01/01/2010 02:00:00;MARANHAO;0.0
01/01/2010 03:00:00;MARANHAO;0.0
01/01/2010 04:00:00;MARANHAO;0.0
01/01/2010 05:00:00;MARANHAO;0.0
01/01/2010 06:00:00;MARANHAO;0.0
01/01/2010 07:00:00;MARANHAO;0.0
01/01/2010 08:00:00;MARANHAO;0.0
01/01/2010 09:00:00;MARANHAO;0.0
01/01/2010 10:00:00;MARANHAO;0.0
01/01/2010 11:00:00;MARANHAO;0.0
01/01/2010 12:00:00;MARANHAO;0.0
01/01/2010 13:00:00;MARANHAO;0.0
01/01/2010 14:00:00;MARANHAO;0.0
01/01/2010 15:00:00;MARANHAO;0.0
01/01/2010 16:00:00;MARANHAO;0.0
01/01/2010 17:00:00;MARANHAO;0.0
01/01/2010 18:00:00;MARANHAO;0.0
01/01/2010 19:00:00;MARANHAO;0.0
01/01/2010 20:00:00;MARANHAO;0.0
01/01/2010 21:00:00;MARANHAO;0.0
01/01/2010 22:00:00;MARANHAO;0.0
01/01/2010 23:00:00;MARANHAO;0.0
02/01/2010 00:00:00;MARANHAO;0.0
02/01/2010 01:00:00;MARANHAO;0.0
02/01/2010 02:00:00;MARANHAO;0.0
02/01/2010 03:00:00;MARANHAO;0.0
02/01/2010 04:00:00;MARANHAO;0.0
02/01/2010 05:00:00;MARANHAO;0.0
02/01/2010 06:00:00;MARANHAO;0.0
02/01/2010 07:00:00;MARANHAO;0.0
02/01/2010 08:00:00;MARANHAO;0.0
02/01/2010 09:00:00;MARANHAO;0.0
02/01/2010 10:00:00;MARANHAO;0.0
02/01/2010 11:00:00;MARANHAO;0.0
02/01/2010 12:00:00;MARANHAO;0.00026597
02/01/2010 13:00:00;MARANHAO;0.01719413
02/01/2010 14:00:00;MARANHAO;0.0284596
02/01/2010 15:00:00;MARANHAO;0.04124312
02/01/2010 16:00:00;MARANHAO;0.05297669
02/01/2010 17:00:00;MARANHAO;0.0597702
02/01/2010 18:00:00;MARANHAO;0.0388114
02/01/2010 19:00:00;MARANHAO;0.00111809
02/01/2010 20:00:00;MARANHAO;0.0
02/01/2010 21:00:00;MARANHAO;0.0
02/01/2010 22:00:00;MARANHAO;0.0
02/01/2010 23:00:00;MARANHAO;0.0
03/01/2010 00:00:00;MARANHAO;0.0
03/01/2010 01:00:00;MARANHAO;0.0
03/01/2010 02:00:00;MARANHAO;0.0
03/01/2010 03:00:00;MARANHAO;0.0
03/01/2010 04:00:00;MARANHAO;0.0
03/01/2010 05:00:00;MARANHAO;0.0
03/01/2010 06:00:00;MARANHAO;0.0
03/01/2010 07:00:00;MARANHAO;0.0
03/01/2010 08:00:00;MARANHAO;0.0
03/01/2010 09:00:00;MARANHAO;0.0
03/01/2010 10:00:00;MARANHAO;0.0059813
03/01/2010 11:00:00;MARANHAO;0.00800399
03/01/2010 12:00:00;MARANHAO;0.01133023
03/01/2010 13:00:00;MARANHAO;0.01840493
03/01/2010 14:00:00;MARANHAO;0.02424546
03/01/2010 15:00:00;MARANHAO;0.04564095
03/01/2010 16:00:00;MARANHAO;0.052976300000000004
03/01/2010 17:00:00;MARANHAO;0.06703239
03/01/2010 18:00:00;MARANHAO;0.03394062
03/01/2010 19:00:00;MARANHAO;0.0
03/01/2010 20:00:00;MARANHAO;0.0
03/01/2010 21:00:00;MARANHAO;0.0
03/01/2010 22:00:00;MARANHAO;0.0
03/01/2010 23:00:00;MARANHAO;0.0
04/01/2010 00:00:00;MARANHAO;0.0
04/01/2010 01:00:00;MARANHAO;0.0
04/01/2010 02:00:00;MARANHAO;0.0
04/01/2010 03:00:00;MARANHAO;0.0
04/01/2010 04:00:00;MARANHAO;0.0
04/01/2010 05:00:00;MARANHAO;0.0
04/01/2010 06:00:00;MARANHAO;0.0
04/01/2010 07:00:00;MARANHAO;0.0
04/01/2010 08:00:00;MARANHAO;0.0
04/01/2010 09:00:00;MARANHAO;0.0
04/01/2010 10:00:00;MARANHAO;0.0
04/01/2010 11:00:00;MARANHAO;0.00063157
04/01/2010 12:00:00;MARANHAO;0.01076192
04/01/2010 13:00:00;MARANHAO;0.01337223
04/01/2010 14:00:00;MARANHAO;0.02383649
04/01/2010 15:00:00;MARANHAO;0.05402817
04/01/2010 16:00:00;MARANHAO;0.076236
04/01/2010 17:00:00;MARANHAO;0.10438087
04/01/2010 18:00:00;MARANHAO;0.15015
04/01/2010 19:00:00;MARANHAO;0.16158656
04/01/2010 20:00:00;MARANHAO;0.1517552
04/01/2010 21:00:00;MARANHAO;0.00444557
