date;state;energyGWh
29/06/2015 00:00:00;PIAUI;0.06565352
29/06/2015 01:00:00;PIAUI;0.06556684
29/06/2015 02:00:00;PIAUI;0.0679597
29/06/2015 03:00:00;PIAUI;0.06726922
29/06/2015 04:00:00;PIAUI;0.06672636
29/06/2015 05:00:00;PIAUI;0.06607323
29/06/2015 06:00:00;PIAUI;0.06626221
29/06/2015 07:00:00;PIAUI;0.06421223
29/06/2015 08:00:00;PIAUI;0.05891554
29/06/2015 09:00:00;PIAUI;0.049140300000000005
29/06/2015 10:00:00;PIAUI;0.03482486
29/06/2015 11:00:00;PIAUI;0.02732411
29/06/2015 12:00:00;PIAUI;0.02768444
29/06/2015 13:00:00;PIAUI;0.02768138
29/06/2015 14:00:00;PIAUI;0.0210528
29/06/2015 15:00:00;PIAUI;0.02699531
29/06/2015 16:00:00;PIAUI;0.04251826
29/06/2015 17:00:00;PIAUI;0.05464093
29/06/2015 18:00:00;PIAUI;0.060714199999999996
29/06/2015 19:00:00;PIAUI;0.06494247
29/06/2015 20:00:00;PIAUI;0.06254873
29/06/2015 21:00:00;PIAUI;0.06331248
29/06/2015 22:00:00;PIAUI;0.07283501
29/06/2015 23:00:00;PIAUI;0.06073972
30/06/2015 00:00:00;PIAUI;0.05920539
30/06/2015 01:00:00;PIAUI;0.05560584
30/06/2015 02:00:00;PIAUI;0.05112855
30/06/2015 03:00:00;PIAUI;0.04936039
30/06/2015 04:00:00;PIAUI;0.04717297
30/06/2015 05:00:00;PIAUI;0.04672838
30/06/2015 06:00:00;PIAUI;0.04717959
30/06/2015 07:00:00;PIAUI;0.04968373
30/06/2015 08:00:00;PIAUI;0.05037168
30/06/2015 09:00:00;PIAUI;0.05885405
30/06/2015 10:00:00;PIAUI;0.04703134
30/06/2015 11:00:00;PIAUI;0.03798873
30/06/2015 12:00:00;PIAUI;0.02802408
30/06/2015 13:00:00;PIAUI;0.02936405
30/06/2015 14:00:00;PIAUI;0.02964491
30/06/2015 15:00:00;PIAUI;0.02819315
30/06/2015 16:00:00;PIAUI;0.0320496
30/06/2015 17:00:00;PIAUI;0.03404905
30/06/2015 18:00:00;PIAUI;0.03744543
30/06/2015 19:00:00;PIAUI;0.05150018
30/06/2015 20:00:00;PIAUI;0.05632439
30/06/2015 21:00:00;PIAUI;0.057709500000000004
30/06/2015 22:00:00;PIAUI;0.05242783
30/06/2015 23:00:00;PIAUI;0.04960325
01/07/2015 00:00:00;PIAUI;0.02997691
01/07/2015 01:00:00;PIAUI;0.02720055
01/07/2015 02:00:00;PIAUI;0.0415783
01/07/2015 03:00:00;PIAUI;0.04700293
01/07/2015 04:00:00;PIAUI;0.04238204
01/07/2015 05:00:00;PIAUI;0.04932448
01/07/2015 06:00:00;PIAUI;0.04950227
01/07/2015 07:00:00;PIAUI;0.04850034
01/07/2015 08:00:00;PIAUI;0.04799945
01/07/2015 09:00:00;PIAUI;0.05018625
01/07/2015 10:00:00;PIAUI;0.05598833
01/07/2015 11:00:00;PIAUI;0.05525654
01/07/2015 12:00:00;PIAUI;0.05371025
01/07/2015 13:00:00;PIAUI;0.05282165
01/07/2015 14:00:00;PIAUI;0.04648215
01/07/2015 15:00:00;PIAUI;0.04413976
01/07/2015 16:00:00;PIAUI;0.0367726
01/07/2015 17:00:00;PIAUI;0.0274052
01/07/2015 18:00:00;PIAUI;0.03101476
01/07/2015 19:00:00;PIAUI;0.03607359
01/07/2015 20:00:00;PIAUI;0.05818648
01/07/2015 21:00:00;PIAUI;0.06824569999999999
01/07/2015 22:00:00;PIAUI;0.07488142
01/07/2015 23:00:00;PIAUI;0.08485179
02/07/2015 00:00:00;PIAUI;0.08225276
02/07/2015 01:00:00;PIAUI;0.07821298
02/07/2015 02:00:00;PIAUI;0.0702539
02/07/2015 03:00:00;PIAUI;0.06960417
02/07/2015 04:00:00;PIAUI;0.06838428
02/07/2015 05:00:00;PIAUI;0.06474379
02/07/2015 06:00:00;PIAUI;0.06611751
02/07/2015 07:00:00;PIAUI;0.06241733
02/07/2015 08:00:00;PIAUI;0.06786937
02/07/2015 09:00:00;PIAUI;0.07063422
02/07/2015 10:00:00;PIAUI;0.06678902
02/07/2015 11:00:00;PIAUI;0.06520718
02/07/2015 12:00:00;PIAUI;0.05547552
02/07/2015 13:00:00;PIAUI;0.04700894
02/07/2015 14:00:00;PIAUI;0.04870941
02/07/2015 15:00:00;PIAUI;0.05053017
02/07/2015 16:00:00;PIAUI;0.03665501
02/07/2015 17:00:00;PIAUI;0.03003473
02/07/2015 18:00:00;PIAUI;0.0161636
02/07/2015 19:00:00;PIAUI;0.01749088
02/07/2015 20:00:00;PIAUI;0.03054771
02/07/2015 21:00:00;PIAUI;0.04038576
02/07/2015 22:00:00;PIAUI;0.058429499999999995
02/07/2015 23:00:00;PIAUI;0.06898309
03/07/2015 00:00:00;PIAUI;0.06567489
03/07/2015 01:00:00;PIAUI;0.08015357
03/07/2015 02:00:00;PIAUI;0.08537675
03/07/2015 03:00:00;PIAUI;0.08064232
03/07/2015 04:00:00;PIAUI;0.07968594
03/07/2015 05:00:00;PIAUI;0.07572489
03/07/2015 06:00:00;PIAUI;0.07484752
03/07/2015 07:00:00;PIAUI;0.07767113
03/07/2015 08:00:00;PIAUI;0.07561863
03/07/2015 09:00:00;PIAUI;0.06873732
03/07/2015 10:00:00;PIAUI;0.05543914
03/07/2015 11:00:00;PIAUI;0.0460749
03/07/2015 12:00:00;PIAUI;0.04663825
03/07/2015 13:00:00;PIAUI;0.04341762
03/07/2015 14:00:00;PIAUI;0.04712366
03/07/2015 15:00:00;PIAUI;0.05560684
03/07/2015 16:00:00;PIAUI;0.05259019
03/07/2015 17:00:00;PIAUI;0.03926756
03/07/2015 18:00:00;PIAUI;0.04647204
03/07/2015 19:00:00;PIAUI;0.06875218
03/07/2015 20:00:00;PIAUI;0.07689674
03/07/2015 21:00:00;PIAUI;0.07542038
03/07/2015 22:00:00;PIAUI;0.08500039999999999
03/07/2015 23:00:00;PIAUI;0.08605478
04/07/2015 00:00:00;PIAUI;0.0781992
04/07/2015 01:00:00;PIAUI;0.07835137
04/07/2015 02:00:00;PIAUI;0.07518471
04/07/2015 03:00:00;PIAUI;0.07240965
04/07/2015 04:00:00;PIAUI;0.07052503
04/07/2015 05:00:00;PIAUI;0.06886452
04/07/2015 06:00:00;PIAUI;0.06602251
04/07/2015 07:00:00;PIAUI;0.06215487
04/07/2015 08:00:00;PIAUI;0.04842517
04/07/2015 09:00:00;PIAUI;0.04761901
04/07/2015 10:00:00;PIAUI;0.03635373
04/07/2015 11:00:00;PIAUI;0.03996398
04/07/2015 12:00:00;PIAUI;0.03408391
04/07/2015 13:00:00;PIAUI;0.02835433
04/07/2015 14:00:00;PIAUI;0.02177135
04/07/2015 15:00:00;PIAUI;0.02803959
04/07/2015 16:00:00;PIAUI;0.02597566
04/07/2015 17:00:00;PIAUI;0.020139400000000002
04/07/2015 18:00:00;PIAUI;0.02527825
04/07/2015 19:00:00;PIAUI;0.03656881
04/07/2015 20:00:00;PIAUI;0.049885900000000004
04/07/2015 21:00:00;PIAUI;0.06108169
04/07/2015 22:00:00;PIAUI;0.08538982
04/07/2015 23:00:00;PIAUI;0.09326478
05/07/2015 00:00:00;PIAUI;0.08325133
05/07/2015 01:00:00;PIAUI;0.07938237
05/07/2015 02:00:00;PIAUI;0.07464849
05/07/2015 03:00:00;PIAUI;0.06970341
05/07/2015 04:00:00;PIAUI;0.06547495
05/07/2015 05:00:00;PIAUI;0.06734945
05/07/2015 06:00:00;PIAUI;0.06427227
05/07/2015 07:00:00;PIAUI;0.06554875
05/07/2015 08:00:00;PIAUI;0.06825722
05/07/2015 09:00:00;PIAUI;0.0674659
05/07/2015 10:00:00;PIAUI;0.05526298
05/07/2015 11:00:00;PIAUI;0.04584819
05/07/2015 12:00:00;PIAUI;0.04642253
05/07/2015 13:00:00;PIAUI;0.04746578
05/07/2015 14:00:00;PIAUI;0.03932695
05/07/2015 15:00:00;PIAUI;0.04042971
05/07/2015 16:00:00;PIAUI;0.03188986
05/07/2015 17:00:00;PIAUI;0.02216088
05/07/2015 18:00:00;PIAUI;0.0224048
05/07/2015 19:00:00;PIAUI;0.03353812
05/07/2015 20:00:00;PIAUI;0.0447248
05/07/2015 21:00:00;PIAUI;0.05252663
05/07/2015 22:00:00;PIAUI;0.06325277
05/07/2015 23:00:00;PIAUI;0.09605673
06/07/2015 00:00:00;PIAUI;0.09629012
06/07/2015 01:00:00;PIAUI;0.08012639999999999
06/07/2015 02:00:00;PIAUI;0.07469876
06/07/2015 03:00:00;PIAUI;0.07485819
06/07/2015 04:00:00;PIAUI;0.0776882
06/07/2015 05:00:00;PIAUI;0.06486736
06/07/2015 06:00:00;PIAUI;0.05895541
06/07/2015 07:00:00;PIAUI;0.06075004
06/07/2015 08:00:00;PIAUI;0.05742904
06/07/2015 09:00:00;PIAUI;0.06157674
06/07/2015 10:00:00;PIAUI;0.06783833
06/07/2015 11:00:00;PIAUI;0.06708169
06/07/2015 12:00:00;PIAUI;0.07089422
06/07/2015 13:00:00;PIAUI;0.07627523
06/07/2015 14:00:00;PIAUI;0.07338308
06/07/2015 15:00:00;PIAUI;0.07048761
06/07/2015 16:00:00;PIAUI;0.06994109
06/07/2015 17:00:00;PIAUI;0.06837325
06/07/2015 18:00:00;PIAUI;0.05402091
06/07/2015 19:00:00;PIAUI;0.04791508
06/07/2015 20:00:00;PIAUI;0.0626699
06/07/2015 21:00:00;PIAUI;0.07347687
06/07/2015 22:00:00;PIAUI;0.0947457
06/07/2015 23:00:00;PIAUI;0.09687385
07/07/2015 00:00:00;PIAUI;0.09610805
07/07/2015 01:00:00;PIAUI;0.09366246
07/07/2015 02:00:00;PIAUI;0.08990833
07/07/2015 03:00:00;PIAUI;0.08585521
07/07/2015 04:00:00;PIAUI;0.07327849
07/07/2015 05:00:00;PIAUI;0.07425885
07/07/2015 06:00:00;PIAUI;0.07930236
07/07/2015 07:00:00;PIAUI;0.07833988
07/07/2015 08:00:00;PIAUI;0.03108133
07/07/2015 09:00:00;PIAUI;0.02793812
07/07/2015 10:00:00;PIAUI;0.01603617
07/07/2015 11:00:00;PIAUI;0.01734983
07/07/2015 12:00:00;PIAUI;0.01722872
07/07/2015 13:00:00;PIAUI;0.01864016
07/07/2015 14:00:00;PIAUI;0.02239043
07/07/2015 15:00:00;PIAUI;0.022068200000000003
07/07/2015 16:00:00;PIAUI;0.04314766
07/07/2015 17:00:00;PIAUI;0.06752675
07/07/2015 18:00:00;PIAUI;0.06016139
