date;state;energyGWh
23/10/2009 00:00:00;RONDONIA;0.0
23/10/2009 01:00:00;RONDONIA;0.0
23/10/2009 02:00:00;RONDONIA;0.0
23/10/2009 03:00:00;RONDONIA;0.0
23/10/2009 04:00:00;RONDONIA;0.0
23/10/2009 05:00:00;RONDONIA;0.0
23/10/2009 06:00:00;RONDONIA;0.0
23/10/2009 07:00:00;RONDONIA;0.0
23/10/2009 08:00:00;RONDONIA;0.0
23/10/2009 09:00:00;RONDONIA;0.0
23/10/2009 10:00:00;RONDONIA;0.0
23/10/2009 11:00:00;RONDONIA;0.0
23/10/2009 12:00:00;RONDONIA;0.0
23/10/2009 13:00:00;RONDONIA;0.0
23/10/2009 14:00:00;RONDONIA;0.0
23/10/2009 15:00:00;RONDONIA;0.0
23/10/2009 16:00:00;RONDONIA;0.0
23/10/2009 17:00:00;RONDONIA;0.01575
23/10/2009 18:00:00;RONDONIA;0.135
23/10/2009 19:00:00;RONDONIA;0.12367
23/10/2009 20:00:00;RONDONIA;0.115
23/10/2009 21:00:00;RONDONIA;0.11267
23/10/2009 22:00:00;RONDONIA;0.10800000000000001
23/10/2009 23:00:00;RONDONIA;0.10800000000000001
24/10/2009 00:00:00;RONDONIA;0.1051
24/10/2009 01:00:00;RONDONIA;0.09767
24/10/2009 02:00:00;RONDONIA;0.092
24/10/2009 03:00:00;RONDONIA;0.0542
24/10/2009 04:00:00;RONDONIA;0.04
24/10/2009 05:00:00;RONDONIA;0.04
24/10/2009 06:00:00;RONDONIA;0.04
24/10/2009 07:00:00;RONDONIA;0.04
24/10/2009 08:00:00;RONDONIA;0.04
24/10/2009 09:00:00;RONDONIA;0.04
24/10/2009 10:00:00;RONDONIA;0.04
24/10/2009 11:00:00;RONDONIA;0.04
24/10/2009 12:00:00;RONDONIA;0.04
24/10/2009 13:00:00;RONDONIA;0.04
24/10/2009 14:00:00;RONDONIA;0.04
24/10/2009 15:00:00;RONDONIA;0.04
24/10/2009 16:00:00;RONDONIA;0.04
24/10/2009 17:00:00;RONDONIA;0.04
24/10/2009 18:00:00;RONDONIA;0.04
24/10/2009 19:00:00;RONDONIA;0.04
24/10/2009 20:00:00;RONDONIA;0.04
24/10/2009 21:00:00;RONDONIA;0.04
24/10/2009 22:00:00;RONDONIA;0.04
24/10/2009 23:00:00;RONDONIA;0.04
25/10/2009 00:00:00;RONDONIA;0.04
25/10/2009 01:00:00;RONDONIA;0.04
25/10/2009 02:00:00;RONDONIA;0.04
25/10/2009 03:00:00;RONDONIA;0.04
25/10/2009 04:00:00;RONDONIA;0.04
25/10/2009 05:00:00;RONDONIA;0.04
25/10/2009 06:00:00;RONDONIA;0.04
25/10/2009 07:00:00;RONDONIA;0.04
25/10/2009 08:00:00;RONDONIA;0.04
25/10/2009 09:00:00;RONDONIA;0.04
25/10/2009 10:00:00;RONDONIA;0.04
25/10/2009 11:00:00;RONDONIA;0.04
25/10/2009 12:00:00;RONDONIA;0.04
25/10/2009 13:00:00;RONDONIA;0.04
25/10/2009 14:00:00;RONDONIA;0.04
25/10/2009 15:00:00;RONDONIA;0.04
25/10/2009 16:00:00;RONDONIA;0.04
25/10/2009 17:00:00;RONDONIA;0.04
25/10/2009 18:00:00;RONDONIA;0.04
25/10/2009 19:00:00;RONDONIA;0.04
25/10/2009 20:00:00;RONDONIA;0.04
25/10/2009 21:00:00;RONDONIA;0.04
25/10/2009 22:00:00;RONDONIA;0.04067
25/10/2009 23:00:00;RONDONIA;0.0828
26/10/2009 00:00:00;RONDONIA;0.044000000000000004
26/10/2009 01:00:00;RONDONIA;0.0398
26/10/2009 02:00:00;RONDONIA;0.04
26/10/2009 03:00:00;RONDONIA;0.04
26/10/2009 04:00:00;RONDONIA;0.04
26/10/2009 05:00:00;RONDONIA;0.04
26/10/2009 06:00:00;RONDONIA;0.04
26/10/2009 07:00:00;RONDONIA;0.04
26/10/2009 08:00:00;RONDONIA;0.04
26/10/2009 09:00:00;RONDONIA;0.04
26/10/2009 10:00:00;RONDONIA;0.04
26/10/2009 11:00:00;RONDONIA;0.04
26/10/2009 12:00:00;RONDONIA;0.04
26/10/2009 13:00:00;RONDONIA;0.04
26/10/2009 14:00:00;RONDONIA;0.04
26/10/2009 15:00:00;RONDONIA;0.04
26/10/2009 16:00:00;RONDONIA;0.04
26/10/2009 17:00:00;RONDONIA;0.04
26/10/2009 18:00:00;RONDONIA;0.04
26/10/2009 19:00:00;RONDONIA;0.04
26/10/2009 20:00:00;RONDONIA;0.04
26/10/2009 21:00:00;RONDONIA;0.04
26/10/2009 22:00:00;RONDONIA;0.04
26/10/2009 23:00:00;RONDONIA;0.04
27/10/2009 00:00:00;RONDONIA;0.0783
27/10/2009 01:00:00;RONDONIA;0.09333
27/10/2009 02:00:00;RONDONIA;0.085
27/10/2009 03:00:00;RONDONIA;0.085
27/10/2009 04:00:00;RONDONIA;0.085
27/10/2009 05:00:00;RONDONIA;0.04825
27/10/2009 06:00:00;RONDONIA;0.04
27/10/2009 07:00:00;RONDONIA;0.04
27/10/2009 08:00:00;RONDONIA;0.04
27/10/2009 09:00:00;RONDONIA;0.04
27/10/2009 10:00:00;RONDONIA;0.073
27/10/2009 11:00:00;RONDONIA;0.08
27/10/2009 12:00:00;RONDONIA;0.08
27/10/2009 13:00:00;RONDONIA;0.08
27/10/2009 14:00:00;RONDONIA;0.08
27/10/2009 15:00:00;RONDONIA;0.09167
27/10/2009 16:00:00;RONDONIA;0.12
27/10/2009 17:00:00;RONDONIA;0.12
27/10/2009 18:00:00;RONDONIA;0.12
27/10/2009 19:00:00;RONDONIA;0.12
27/10/2009 20:00:00;RONDONIA;0.11732999999999999
27/10/2009 21:00:00;RONDONIA;0.1
27/10/2009 22:00:00;RONDONIA;0.1
27/10/2009 23:00:00;RONDONIA;0.099
28/10/2009 00:00:00;RONDONIA;0.07
28/10/2009 01:00:00;RONDONIA;0.07
28/10/2009 02:00:00;RONDONIA;0.0436
28/10/2009 03:00:00;RONDONIA;0.04
28/10/2009 04:00:00;RONDONIA;0.04
28/10/2009 05:00:00;RONDONIA;0.04
28/10/2009 06:00:00;RONDONIA;0.04
28/10/2009 07:00:00;RONDONIA;0.04
28/10/2009 08:00:00;RONDONIA;0.04
28/10/2009 09:00:00;RONDONIA;0.04
28/10/2009 10:00:00;RONDONIA;0.04
28/10/2009 11:00:00;RONDONIA;0.04
28/10/2009 12:00:00;RONDONIA;0.04967
28/10/2009 13:00:00;RONDONIA;0.05
28/10/2009 14:00:00;RONDONIA;0.05
28/10/2009 15:00:00;RONDONIA;0.07532
28/10/2009 16:00:00;RONDONIA;0.105
28/10/2009 17:00:00;RONDONIA;0.105
28/10/2009 18:00:00;RONDONIA;0.07917
28/10/2009 19:00:00;RONDONIA;0.0605
28/10/2009 20:00:00;RONDONIA;0.066
28/10/2009 21:00:00;RONDONIA;0.08
28/10/2009 22:00:00;RONDONIA;0.08
28/10/2009 23:00:00;RONDONIA;0.09158
29/10/2009 00:00:00;RONDONIA;0.083
29/10/2009 01:00:00;RONDONIA;0.07
29/10/2009 02:00:00;RONDONIA;0.053
29/10/2009 03:00:00;RONDONIA;0.04
29/10/2009 04:00:00;RONDONIA;0.04
29/10/2009 05:00:00;RONDONIA;0.04
29/10/2009 06:00:00;RONDONIA;0.04
29/10/2009 07:00:00;RONDONIA;0.04
29/10/2009 08:00:00;RONDONIA;0.04
29/10/2009 09:00:00;RONDONIA;0.04
