date;state;energyGWh
01/01/2014 00:00:00;SANTA CATARINA;0.01682015
01/01/2014 01:00:00;SANTA CATARINA;0.01786161
01/01/2014 02:00:00;SANTA CATARINA;0.01726279
01/01/2014 03:00:00;SANTA CATARINA;0.02723701
01/01/2014 04:00:00;SANTA CATARINA;0.03232347
01/01/2014 05:00:00;SANTA CATARINA;0.03360515
01/01/2014 06:00:00;SANTA CATARINA;0.04791671
01/01/2014 07:00:00;SANTA CATARINA;0.04019558
01/01/2014 08:00:00;SANTA CATARINA;0.03020844
01/01/2014 09:00:00;SANTA CATARINA;0.03894267
01/01/2014 10:00:00;SANTA CATARINA;0.043008099999999994
01/01/2014 11:00:00;SANTA CATARINA;0.04290217
01/01/2014 12:00:00;SANTA CATARINA;0.05569364
01/01/2014 13:00:00;SANTA CATARINA;0.04888465
01/01/2014 14:00:00;SANTA CATARINA;0.04289448
01/01/2014 15:00:00;SANTA CATARINA;0.02564073
01/01/2014 16:00:00;SANTA CATARINA;0.01701301
01/01/2014 17:00:00;SANTA CATARINA;0.05266242
01/01/2014 18:00:00;SANTA CATARINA;0.01918031
01/01/2014 19:00:00;SANTA CATARINA;0.02542136
01/01/2014 20:00:00;SANTA CATARINA;0.01992614
01/01/2014 21:00:00;SANTA CATARINA;0.00286836
01/01/2014 22:00:00;SANTA CATARINA;0.00054196
01/01/2014 23:00:00;SANTA CATARINA;0.00554476
02/01/2014 00:00:00;SANTA CATARINA;0.03859043
02/01/2014 01:00:00;SANTA CATARINA;0.047469300000000006
02/01/2014 02:00:00;SANTA CATARINA;0.0634744
02/01/2014 03:00:00;SANTA CATARINA;0.06635769
02/01/2014 04:00:00;SANTA CATARINA;0.08709375
02/01/2014 05:00:00;SANTA CATARINA;0.08420724
02/01/2014 06:00:00;SANTA CATARINA;0.08236552
02/01/2014 07:00:00;SANTA CATARINA;0.10908699999999999
02/01/2014 08:00:00;SANTA CATARINA;0.11620463
02/01/2014 09:00:00;SANTA CATARINA;0.12824067
02/01/2014 10:00:00;SANTA CATARINA;0.14551455
02/01/2014 11:00:00;SANTA CATARINA;0.15452355
02/01/2014 12:00:00;SANTA CATARINA;0.15783037
02/01/2014 13:00:00;SANTA CATARINA;0.12615799
02/01/2014 14:00:00;SANTA CATARINA;0.11395843
02/01/2014 15:00:00;SANTA CATARINA;0.10658218
02/01/2014 16:00:00;SANTA CATARINA;0.09436686
02/01/2014 17:00:00;SANTA CATARINA;0.08995231
02/01/2014 18:00:00;SANTA CATARINA;0.08710115
02/01/2014 19:00:00;SANTA CATARINA;0.10844032
02/01/2014 20:00:00;SANTA CATARINA;0.13213181
02/01/2014 21:00:00;SANTA CATARINA;0.14075987
02/01/2014 22:00:00;SANTA CATARINA;0.1388169
02/01/2014 23:00:00;SANTA CATARINA;0.14384669
03/01/2014 00:00:00;SANTA CATARINA;0.15398737
03/01/2014 01:00:00;SANTA CATARINA;0.16104179999999998
03/01/2014 02:00:00;SANTA CATARINA;0.16301469
03/01/2014 03:00:00;SANTA CATARINA;0.15417962
03/01/2014 04:00:00;SANTA CATARINA;0.14795782
03/01/2014 05:00:00;SANTA CATARINA;0.12665693
